//left right up down posX posY
//Linha 1
0 1 0 1 57 63
1 0 0 1 360 63
0 1 0 0 426 63
1 1 0 0 558 63
1 0 0 1 1053 63

//Linha 2
0 1 0 1 150 138
1 0 1 0 360 138
0 1 0 1 693 138
1 0 1 0 1053 138

//Linha 3 
0 1 1 0 150 222
1 0 1 1 693 222
0 1 0 1 765 222
1 0 0 1 1053 222

//Linha 4 
0 1 0 1 150 320
1 0 1 0 693 320
0 1 1 0 765 320
1 0 0 0 940 320

//Linha 5 
0 1 1 0 150 430
1 1 0 1 554 430
1 0 1 1 1053 430

//Linha 6
0 1 0 1 150 505
1 1 1 0 554 505
1 0 0 1 940 505

//Linha 7 
0 1 1 0 150 580
1 0 1 0 940 580

//Linha 8
0 1 1 0 57 652
1 1 0 0 554 652
1 0 1 0 1053 652
