left right up down posX posY
//Linha 1
0 0 0 1 553 22

//Linha 2
0 1 0 1 50 75
1 0 0 1 443 75
0 1 0 1 660 75
1 1 0 1 850 75
1 0 0 1 1058 75

//Linha 3
0 1 1 1 666 140
1 0 0 0 790 140
0 1 0 0 913 140
1 0 0 1 1000 140

//Linha 4  
0 1 1 0 54 173
1 0 0 1 164 173
0 1 0 1 230 173
1 1 0 1 298 173
1 0 1 0 445 173

0 1 1 1 665 203
1 1 1 1 850 203
1 0 1 1 1000 203

//Linha 5
0 1 0 1 53 247
1 0 1 0 167 247
0 1 1 1 293 264
1 0 0 1 364 264
0 1 0 1 444 264
1 0 1 1 552 264
0 1 1 1 660 264
1 1 1 0 852 264
1 0 1 0 1000 264

//Linha 6
0 1 1 0 55 315
1 0 0 1 164 315

0 1 1 1 660 327
1 1 0 1 850 327
1 0 0 1 1000 327

//Linha 7
0 1 0 1 53 385
1 0 1 0 164 385
0 0 1 0 230 385
0 0 1 0 298 385
0 1 1 0 367 385
1 0 1 0 444 385
0 1 1 0 660 385
1 1 0 1 723 385 
1 0 0 1 783 385
0 0 0 1 925 385

//Linha 8
0 1 0 0 123 452
1 1 0 1 244 452
1 0 0 1 444 452
0 0 0 1 660 452

//Linha 9
0 1 1 0 52 523
1 0 1 0 244 523

0 0 0 1 310 516
0 0 0 1 378 516

//Linha 10
0 1 0 1 52 597
1 1 1 0 310 597
1 1 1 0 378 597
1 0 1 1 446 597
0 1 1 1 555 600
1 0 1 1 662 600
0 0 1 0 723 600
0 0 1 0 785 600

//Linha 11
0 1 1 0 52 666
1 0 0 0 384 666
0 0 1 0 444 666
0 0 1 0 550 666
0 1 1 0 660 666
1 1 1 0 850 666
1 0 1 0 924 666
0 1 1 0 994 666 
1 0 1 0 1060 666
